time,hr,dist,speed
548,177,1524.54,3.08000000000015
549,177,1527.62,3.07999999999993
550,176,1530.71,3.08999999999992
551,176,1533.77,3.05999999999995
552,176,1536.83,3.06000000000017
553,176,1539.93,3.09999999999991
554,176,1543.03,3.10000000000014
555,176,1546.13,3.10000000000014
556,176,1549.26,3.12999999999965
557,176,1552.4,3.14000000000033
558,176,1555.55,3.14999999999986
559,176,1558.69,3.13999999999987
560,176,1561.84,3.15000000000009
561,176,1565,3.16000000000008
562,176,1568.15,3.14999999999986
562,176,1568.15,
563,176,1571.29,3.13999999999987
564,176,1574.43,3.14000000000033
565,175,1577.56,3.12999999999988
566,175,1580.66,3.09999999999991
567,175,1583.75,3.09000000000015
568,175,1586.82,3.06999999999994
569,175,1589.89,3.06999999999994
570,176,1592.95,3.05999999999995
571,176,1596,3.04999999999995
572,176,1599.04,3.04000000000019
573,176,1602.05,3.00999999999999
574,176,1605.05,3
575,176,1608.04,2.99000000000001
576,176,1611.01,2.9699999999998
577,176,1614,2.99000000000001
578,176,1616.98,2.98000000000002
579,176,1619.96,2.98000000000002
580,176,1622.94,2.98000000000002
581,176,1625.93,2.99000000000001
582,176,1628.91,2.98000000000002
583,176,1631.91,3
584,176,1634.91,3
585,178,1637.93,3.01999999999998
586,178,1640.96,3.0300000000002
587,178,1644,3.03999999999996
588,178,1647.04,3.03999999999974
589,178,1650.1,3.06000000000017
590,177,1653.16,3.05999999999995
591,177,1656.23,3.06999999999994
592,177,1659.31,3.08000000000015
593,177,1662.38,3.06999999999994
594,177,1665.48,3.09999999999991
595,177,1668.59,3.11000000000013
596,177,1671.69,3.09999999999991
597,177,1674.82,3.13000000000011
598,177,1677.95,3.12999999999988
599,177,1681.11,3.16000000000008
600,178,1684.3,3.19000000000005
601,178,1687.5,3.20000000000005
602,178,1690.68,3.18000000000006
603,178,1693.89,3.20999999999981
604,178,1697.1,3.21000000000004
605,179,1700.32,3.22000000000003
606,179,1703.54,3.2199999999998
607,179,1706.73,3.19000000000005
608,179,1709.93,3.20000000000005
609,179,1713.04,3.11000000000013
610,181,1716.12,3.07999999999993
611,181,1719.18,3.05999999999995
612,181,1722.24,3.06000000000017
613,181,1725.26,3.01999999999998
614,181,1728.29,3.02999999999997
615,181,1731.29,3
